"School Year","Enrolled School ID","Enrolled School Name","Enrolled School Zip Code","Catchment School ID","Catchment School Name","Catchment School Zip Code","Student Counts"
"2019-2020","1010","Bartram, John High School","19142","1010","Bartram, John High School","19142","485"
"2019-2020","1010","Bartram, John High School","19142","1020","West Philadelphia High School","19139","2"
"2019-2020","1010","Bartram, John High School","19142","1100","Sayre, William L. High School","19139","24"
"2019-2020","1010","Bartram, John High School","19142","2000","South Philadelphia H.S.","19148","3"
"2019-2020","1010","Bartram, John High School","19142","3414","Aspira Olney Charter High","19120","1"
"2019-2020","1010","Bartram, John High School","19142","3416","Mastery Charter at Gratz","19140","6"
"2019-2020","1010","Bartram, John High School","19142","3417","Universal Charter Audenried","19145","5"
"2019-2020","1010","Bartram, John High School","19142","4020","Overbrook High School","19131","9"
"2019-2020","1010","Bartram, John High School","19142","4140","Strawberry Mansion High School","19121","2"
"2019-2020","1010","Bartram, John High School","19142","6060","King, Martin Luther High Sch.","19138","6"
"2019-2020","1010","Bartram, John High School","19142","8010","Lincoln, Abraham High School","19136","1"
"2019-2020","1010","Bartram, John High School","19142","Data Not Available","Data Not Available","Data Not Available","1"
"2019-2020","1020","West Philadelphia High School","19139","1010","Bartram, John High School","19142","64"
"2019-2020","1020","West Philadelphia High School","19139","1020","West Philadelphia High School","19139","145"
"2019-2020","1020","West Philadelphia High School","19139","1100","Sayre, William L. High School","19139","97"
"2019-2020","1020","West Philadelphia High School","19139","2000","South Philadelphia H.S.","19148","1"
"2019-2020","1020","West Philadelphia High School","19139","2010","Franklin, Benjamin High School","19140","3"
"2019-2020","1020","West Philadelphia High School","19139","3414","Aspira Olney Charter High","19120","1"
"2019-2020","1020","West Philadelphia High School","19139","3416","Mastery Charter at Gratz","19140","1"
"2019-2020","1020","West Philadelphia High School","19139","3417","Universal Charter Audenried","19145","2"
"2019-2020","1020","West Philadelphia High School","19139","4020","Overbrook High School","19131","71"
"2019-2020","1020","West Philadelphia High School","19139","4140","Strawberry Mansion High School","19121","3"
"2019-2020","1020","West Philadelphia High School","19139","5020","Edison, Thomas A. High School","19140","5"
"2019-2020","1020","West Philadelphia High School","19139","5700","Kensington High School","19125","3"
"2019-2020","1020","West Philadelphia High School","19139","6030","Roxborough High School","19128","2"
"2019-2020","1020","West Philadelphia High School","19139","6060","King, Martin Luther High Sch.","19138","9"
"2019-2020","1020","West Philadelphia High School","19139","7010","Frankford High School","19124","2"
"2019-2020","1020","West Philadelphia High School","19139","7120","Fels, Samuel High School","19124","1"
"2019-2020","1020","West Philadelphia High School","19139","8010","Lincoln, Abraham High School","19136","3"
"2019-2020","1020","West Philadelphia High School","19139","Data Not Available","Data Not Available","Data Not Available","2"
"2019-2020","1030","High School of the Future","19104","1010","Bartram, John High School","19142","67"
"2019-2020","1030","High School of the Future","19104","1020","West Philadelphia High School","19139","15"
"2019-2020","1030","High School of the Future","19104","1100","Sayre, William L. High School","19139","63"
"2019-2020","1030","High School of the Future","19104","2000","South Philadelphia H.S.","19148","13"
"2019-2020","1030","High School of the Future","19104","2010","Franklin, Benjamin High School","19140","27"
"2019-2020","1030","High School of the Future","19104","2160","Furness, Horace High School","19148","4"
"2019-2020","1030","High School of the Future","19104","3414","Aspira Olney Charter High","19120","7"
"2019-2020","1030","High School of the Future","19104","3416","Mastery Charter at Gratz","19140","31"
"2019-2020","1030","High School of the Future","19104","3417","Universal Charter Audenried","19145","12"
"2019-2020","1030","High School of the Future","19104","4020","Overbrook High School","19131","114"
"2019-2020","1030","High School of the Future","19104","4140","Strawberry Mansion High School","19121","48"
"2019-2020","1030","High School of the Future","19104","5020","Edison, Thomas A. High School","19140","10"
"2019-2020","1030","High School of the Future","19104","5160","Penn Treaty High School","19125","5"
"2019-2020","1030","High School of the Future","19104","5180","Vaux High School","19121","13"
"2019-2020","1030","High School of the Future","19104","5700","Kensington High School","19125","13"
"2019-2020","1030","High School of the Future","19104","6030","Roxborough High School","19128","17"
"2019-2020","1030","High School of the Future","19104","6060","King, Martin Luther High Sch.","19138","48"
"2019-2020","1030","High School of the Future","19104","7010","Frankford High School","19124","10"
"2019-2020","1030","High School of the Future","19104","7120","Fels, Samuel High School","19124","19"
"2019-2020","1030","High School of the Future","19104","8010","Lincoln, Abraham High School","19136","6"
"2019-2020","1030","High School of the Future","19104","8020","Northeast High School","19111","10"
"2019-2020","1030","High School of the Future","19104","8030","Washington, George High School","19116","2"
"2019-2020","1030","High School of the Future","19104","Data Not Available","Data Not Available","Data Not Available","4"
"2019-2020","1050","Robeson, Paul High School","19104","1010","Bartram, John High School","19142","66"
"2019-2020","1050","Robeson, Paul High School","19104","1020","West Philadelphia High School","19139","22"
"2019-2020","1050","Robeson, Paul High School","19104","1100","Sayre, William L. High School","19139","61"
"2019-2020","1050","Robeson, Paul High School","19104","2000","South Philadelphia H.S.","19148","4"
"2019-2020","1050","Robeson, Paul High School","19104","2010","Franklin, Benjamin High School","19140","3"
"2019-2020","1050","Robeson, Paul High School","19104","3414","Aspira Olney Charter High","19120","4"
"2019-2020","1050","Robeson, Paul High School","19104","3416","Mastery Charter at Gratz","19140","6"
"2019-2020","1050","Robeson, Paul High School","19104","3417","Universal Charter Audenried","19145","8"
"2019-2020","1050","Robeson, Paul High School","19104","4020","Overbrook High School","19131","95"
"2019-2020","1050","Robeson, Paul High School","19104","4140","Strawberry Mansion High School","19121","8"
"2019-2020","1050","Robeson, Paul High School","19104","5020","Edison, Thomas A. High School","19140","2"
"2019-2020","1050","Robeson, Paul High School","19104","5160","Penn Treaty High School","19125","1"
"2019-2020","1050","Robeson, Paul High School","19104","5700","Kensington High School","19125","5"
"2019-2020","1050","Robeson, Paul High School","19104","6030","Roxborough High School","19128","3"
"2019-2020","1050","Robeson, Paul High School","19104","6060","King, Martin Luther High Sch.","19138","14"
