"School Year","Enrolled School ID","Enrolled School Name","Enrolled School Zip Code","Catchment School ID","Catchment School Name","Catchment School Zip Code","Student Counts"
"2017-2018","1010","Bartram, John High School","19142","1010","Bartram, John High School","19142","489"
"2017-2018","1010","Bartram, John High School","19142","1020","West Philadelphia High School","19139","6"
"2017-2018","1010","Bartram, John High School","19142","1100","Sayre, William L. High School","19139","34"
"2017-2018","1010","Bartram, John High School","19142","2010","Franklin, Benjamin High School","19130","2"
"2017-2018","1010","Bartram, John High School","19142","3414","Aspira Olney Charter High","19120","1"
"2017-2018","1010","Bartram, John High School","19142","3416","Mastery Charter at Gratz","19140","3"
"2017-2018","1010","Bartram, John High School","19142","3417","Universal Charter Audenried","19145","2"
"2017-2018","1010","Bartram, John High School","19142","4020","Overbrook High School","19131","9"
"2017-2018","1010","Bartram, John High School","19142","4140","Strawberry Mansion High School","19121","5"
"2017-2018","1010","Bartram, John High School","19142","5020","Edison, Thomas A. High School","19140","1"
"2017-2018","1010","Bartram, John High School","19142","5700","Kensington High School","19125","2"
"2017-2018","1010","Bartram, John High School","19142","6030","Roxborough High School","19128","1"
"2017-2018","1010","Bartram, John High School","19142","6060","King, Martin Luther High Sch.","19138","3"
"2017-2018","1010","Bartram, John High School","19142","7010","Frankford High School","19124","1"
"2017-2018","1010","Bartram, John High School","19142","8010","Lincoln, Abraham High School","19136","1"
"2017-2018","1010","Bartram, John High School","19142","Data Not Available","Data Not Available","Data Not Available","5"
"2017-2018","1020","West Philadelphia High School","19139","1010","Bartram, John High School","19142","63"
"2017-2018","1020","West Philadelphia High School","19139","1020","West Philadelphia High School","19139","212"
"2017-2018","1020","West Philadelphia High School","19139","1100","Sayre, William L. High School","19139","92"
"2017-2018","1020","West Philadelphia High School","19139","2000","South Philadelphia H.S.","19148","3"
"2017-2018","1020","West Philadelphia High School","19139","2010","Franklin, Benjamin High School","19130","2"
"2017-2018","1020","West Philadelphia High School","19139","3414","Aspira Olney Charter High","19120","2"
"2017-2018","1020","West Philadelphia High School","19139","3416","Mastery Charter at Gratz","19140","3"
"2017-2018","1020","West Philadelphia High School","19139","3417","Universal Charter Audenried","19145","3"
"2017-2018","1020","West Philadelphia High School","19139","4020","Overbrook High School","19131","73"
"2017-2018","1020","West Philadelphia High School","19139","4140","Strawberry Mansion High School","19121","11"
"2017-2018","1020","West Philadelphia High School","19139","5020","Edison, Thomas A. High School","19140","1"
"2017-2018","1020","West Philadelphia High School","19139","5160","Penn Treaty High School","19125","1"
"2017-2018","1020","West Philadelphia High School","19139","5700","Kensington High School","19125","2"
"2017-2018","1020","West Philadelphia High School","19139","6060","King, Martin Luther High Sch.","19138","10"
"2017-2018","1020","West Philadelphia High School","19139","7010","Frankford High School","19124","3"
"2017-2018","1020","West Philadelphia High School","19139","Data Not Available","Data Not Available","Data Not Available","1"
"2017-2018","1030","High School of the Future","19104","1010","Bartram, John High School","19142","66"
"2017-2018","1030","High School of the Future","19104","1020","West Philadelphia High School","19139","23"
"2017-2018","1030","High School of the Future","19104","1100","Sayre, William L. High School","19139","47"
"2017-2018","1030","High School of the Future","19104","2000","South Philadelphia H.S.","19148","13"
"2017-2018","1030","High School of the Future","19104","2010","Franklin, Benjamin High School","19130","23"
"2017-2018","1030","High School of the Future","19104","2160","Furness, Horace High School","19148","4"
"2017-2018","1030","High School of the Future","19104","3414","Aspira Olney Charter High","19120","13"
"2017-2018","1030","High School of the Future","19104","3416","Mastery Charter at Gratz","19140","23"
"2017-2018","1030","High School of the Future","19104","3417","Universal Charter Audenried","19145","11"
"2017-2018","1030","High School of the Future","19104","4020","Overbrook High School","19131","105"
