"School Year","Enrolled School ID","Enrolled School Name","Enrolled School Zip Code","Catchment School ID","Catchment School Name","Catchment School Zip Code","Student Counts"
"2018-2019","1010","Bartram, John High School","19142","1010","Bartram, John High School","19142","477"
"2018-2019","1010","Bartram, John High School","19142","1020","West Philadelphia High School","19139","4"
"2018-2019","1010","Bartram, John High School","19142","1100","Sayre, William L. High School","19139","21"
"2018-2019","1010","Bartram, John High School","19142","2000","South Philadelphia H.S.","19148","1"
"2018-2019","1010","Bartram, John High School","19142","3416","Mastery Charter at Gratz","19140","1"
"2018-2019","1010","Bartram, John High School","19142","3417","Universal Charter Audenried","19145","4"
"2018-2019","1010","Bartram, John High School","19142","4020","Overbrook High School","19131","8"
"2018-2019","1010","Bartram, John High School","19142","4140","Strawberry Mansion High School","19121","5"
"2018-2019","1010","Bartram, John High School","19142","5020","Edison, Thomas A. High School","19140","1"
"2018-2019","1010","Bartram, John High School","19142","5700","Kensington High School","19125","2"
"2018-2019","1010","Bartram, John High School","19142","6030","Roxborough High School","19128","1"
"2018-2019","1010","Bartram, John High School","19142","6060","King, Martin Luther High Sch.","19138","4"
"2018-2019","1010","Bartram, John High School","19142","7010","Frankford High School","19124","2"
"2018-2019","1010","Bartram, John High School","19142","7120","Fels, Samuel High School","19124","1"
"2018-2019","1010","Bartram, John High School","19142","8010","Lincoln, Abraham High School","19136","1"
"2018-2019","1010","Bartram, John High School","19142","Data Not Available","Data Not Available","Data Not Available","1"
"2018-2019","1020","West Philadelphia High School","19139","1010","Bartram, John High School","19142","66"
"2018-2019","1020","West Philadelphia High School","19139","1020","West Philadelphia High School","19139","174"
"2018-2019","1020","West Philadelphia High School","19139","1100","Sayre, William L. High School","19139","88"
"2018-2019","1020","West Philadelphia High School","19139","2010","Franklin, Benjamin High School","19130","2"
"2018-2019","1020","West Philadelphia High School","19139","2160","Furness, Horace High School","19148","1"
"2018-2019","1020","West Philadelphia High School","19139","3414","Aspira Olney Charter High","19120","3"
"2018-2019","1020","West Philadelphia High School","19139","3416","Mastery Charter at Gratz","19140","7"
"2018-2019","1020","West Philadelphia High School","19139","3417","Universal Charter Audenried","19145","1"
"2018-2019","1020","West Philadelphia High School","19139","4020","Overbrook High School","19131","73"
"2018-2019","1020","West Philadelphia High School","19139","4140","Strawberry Mansion High School","19121","10"
"2018-2019","1020","West Philadelphia High School","19139","5020","Edison, Thomas A. High School","19140","3"
"2018-2019","1020","West Philadelphia High School","19139","5180","Vaux High School","19121","1"
"2018-2019","1020","West Philadelphia High School","19139","5700","Kensington High School","19125","5"
"2018-2019","1020","West Philadelphia High School","19139","6030","Roxborough High School","19128","2"
"2018-2019","1020","West Philadelphia High School","19139","6060","King, Martin Luther High Sch.","19138","7"
